ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.550983830697,5869.324752700126,24120.031651919628
2014-02-28,5778.6508331609075,-3764.2859123816334,15232.309385471215
2014-03-31,41875.53925152399,32610.675570025032,51296.10429553193
2014-04-30,25662.621294783756,16508.51836278284,34224.242904612736
2014-05-31,25711.964330708026,15960.072947389974,35069.20290359715
2014-06-30,26711.789145018418,17282.755094128355,35330.06677682297
2014-07-31,26438.194277837843,17569.208474732182,34938.49581427347
2014-08-31,30856.688542267402,21023.600429087273,41147.0198098519
2014-09-30,67620.93156238423,58207.50071634981,76568.17546897625
2014-10-31,36077.50434225403,26518.98907610263,45049.18498423448
2014-11-30,78301.38682885704,69563.08956957233,87211.76701197991
2014-12-31,69991.51876336237,60001.48288099308,79775.57021117616
2015-01-31,18738.336892910476,8986.584134795336,27767.290473970614
2015-02-28,13880.831837658588,4931.129713625579,22965.613650119194
2015-03-31,49598.83136948015,40100.85253760333,58674.620353242666
2015-04-30,34575.92273521157,25399.14771944253,43729.681682352246
2015-05-31,26387.657563670007,17358.718370274117,36167.149925695354
2015-06-30,31085.988177242456,21863.543139758138,40026.411217751585
2015-07-31,33255.78944675658,23503.30694145564,42659.679018049894
2015-08-31,40664.39724183443,31381.918977023157,49860.92693585256
2015-09-30,76491.89023655964,66835.75672590938,86169.87057550879
2015-10-31,35984.308220697974,27078.60200018243,45805.02527568325
2015-11-30,86921.2456438293,78220.52604966248,96266.5378999038
2015-12-31,75920.5534703896,67111.5857507997,85602.61926733294
2016-01-31,23165.290815770055,14376.367248792672,32041.125348758
2016-02-29,14902.192510221812,5847.732746001965,23479.339158970826
2016-03-31,51724.01718864048,42490.78722351798,61457.423267374535
2016-04-30,33016.194820158526,23640.553692085483,42225.716434139686
2016-05-31,49868.27313551494,40514.45294953872,59523.36452166473
2016-06-30,44187.75373274126,34543.17401419386,53588.031583668715
2016-07-31,39287.723255204815,30100.099256835165,47770.19997456088
2016-08-31,37700.41663167608,28644.57524144802,46900.50790372956
2016-09-30,75996.54126411708,67284.97412434996,85174.9053252839
2016-10-31,62955.95920166049,53529.976602672315,71997.49412692456
2016-11-30,88181.85094570261,78706.89234731533,97216.35917452534
2016-12-31,85608.06802989347,76973.59404115945,95403.14780571435
2017-01-31,38211.251278896554,28511.305551284,47139.89243289405
2017-02-28,25246.80306426717,15980.695253928705,34106.29676971932
2017-03-31,61846.21185159055,52450.352718752845,71291.86120311005
2017-04-30,44535.8996640299,35932.95130511173,53773.36205887742
2017-05-31,53069.883640419175,43326.44383790946,62364.80140395103
2017-06-30,50739.93134678004,40523.47668487266,59869.315890460915
2017-07-31,48243.24012233741,38062.42474876437,57804.72121827404
2017-08-31,49797.2608864433,40121.19096009604,59182.117285681335
2017-09-30,87518.48075937213,78011.26036948939,96365.99545240478
2017-10-31,65271.21445322694,56010.77723968983,74380.51049169201
2017-11-30,99056.46972270662,89391.90405191368,108354.66761616632
2017-12-31,93756.91412826302,84276.26401893419,103063.82245950664
2018-01-31,44491.106135003094,34864.75678174103,54278.84398150266
2018-02-28,35661.33923450002,26552.284412781122,45410.1803116634
2018-03-31,71959.87517344949,61939.94019082079,80663.06146494151
2018-04-30,55942.099978601684,46337.6897057137,65157.36095553265
2018-05-31,56193.0905388104,46570.28149973131,65280.640063704406
2018-06-30,57388.05811356092,48786.04468685447,66780.6911229826
2018-07-31,57316.110765518824,47991.220211462045,67107.72438420578
2018-08-31,61936.252555832085,52690.493101496395,70917.40433329673
2018-09-30,98895.63834431687,89899.94233731685,108528.5963572487
2018-10-31,67553.85865160535,58034.740930571854,76979.33673919813
2018-11-30,109972.88389800044,100941.47791639641,118938.42014701763
2018-12-31,101864.66334999855,92451.9346155368,111168.57371542238
